institution,position,address,url,year
Utah Valley University,"Faculty, Assistant Professor, Rhetoric and Composition - 054587  [18249] ","English, 800 W University Pky, Orem, UT 84058",http://www.uvu.edu,2012-2013
Fitchburg State University ,Assistant Professor/English Studies/Tenure Track  [18320] ,"English, 160 Pearl St, Fitchburg, MA 01420",http://www.fitchburgstate.edu,2012-2013
 Louisiana SU & A&M C,"Assistant Professor (Second-Language Acquisition, Multilingualism, Rhetoric and Composition)  [18276] ","English, Allen Hall 260, Baton Rouge, LA 70803",http://english.lsu.edu,2012-2013
Nova Southeastern U,Writing/Composition Faculty  [18261] ,"Humanities, 3301 College Av, Fort Lauderdale, FL 33314 ",,2012-2013
Simpson College ,Writing Across the Curriculum Director  [18306] ,"English, 701 North C St, Indianola, IA 50125",http://www.simpson.edu,2012-2013
"U of Hawaii, Hilo",ASSISTANT PROFESSOR OF ENGLISH  [18284] ,"English, 200 W Kawili St, Hilo, HI 96720",http://hilo.hawaii.edu/depts/english/,2012-2013
"University of Massachusetts, Lowell",Assistant or Associate Professor of Composition and Rhetoric  [18289] ,"English, 61 Wilder St, Lowell, MA 01854",http://www.uml.edu,2012-2013
"Columbia C, Chicago",Assistant Professor of Professional Writing  [18365] ,"English, 600 S Michigan Av, Chicago, IL 60605",http://employment.colum.edu,2012-2013
 Marymount Manhattan C,Assistant Professor of Academic Writing and Director of Writing Seminar Program  [18374] ,"Lit & Lang, 221 E 71 St, New York, NY 10021",http://www.mmm.edu,2012-2013
Michigan Tech U,Assistant Professor of Rhetoric and Composition  [18328] ,"Humanities, 1400 Townsend Dr, Houghton, MI 49931",http://www.mtu.edu/humanities,2012-2013
Monmouth C,"Tenure Track, Creative Writing  [18360] ","English, 700 E Broadway, Monmouth, IL 61462",http://www.monmouthcollege.edu,2012-2013
Oakton Comm C,Assistant or Associate Professor English  [18367] ,"English, 1600 E Golf Rd, Des Plaines, IL 60016",http://oakton.interviewexchange.com/jobofferdetails.jsp?JOBID=35528,2012-2013
Oakton Comm C,"English, 1600 E Golf Rd, Des Plaines, IL 60016","English, 1600 E Golf Rd, Des Plaines, IL 60016",http://oakton.interviewexchange.com/jobofferdetails.jsp?JOBID=35528,2012-2013
Point Park U,"Tenure-track position in Composition, Humanities and Human Sciences Department  [18366] ","Humanities & Human Sciences, 201 Wood St, Pittsburgh, PA 15222",http://www.pointpark.edu,2012-2013
 Tennessee Tech U,Assistant Professor of Linguistics  [18331] ,"English, PO Box 5053, Cookeville, TN 38505","http://www,tntech.edu",2012-2013
